symbol,ex_low,ex_high,ema_mean,ema_var,count,updated_ms
CATIUSDT,binance,gate,0.0004882617468823,3.5230921481512666e-07,32,1761875233004
CELOUSDT,gate,bybit,0.0005943991760362,3.540619801405793e-07,24,1761880150392
CELOUSDT,gate,binance,0.0010124578461129,5.426949734312506e-07,39,1761881102039
CELOUSDT,bybit,binance,0.0008175776708365769,3.9264779666519907e-07,46,1761960214793
CELRUSDT,gate,bybit,0.0011294502710809,1.076048624111918e-06,33,1761876212961
CELRUSDT,gate,binance,0.0011178187374782,7.195109466601249e-07,40,1761881102047
CELRUSDT,bybit,binance,0.00021991391570068403,1.153685921220533e-06,83,1761962088328
CETUSUSDT,gate,binance,0.0006769099275859,3.131303652061848e-07,36,1761880150407
CETUSUSDT,gate,bybit,0.001069743473069,2.9492572498900505e-07,53,1761881102055
CETUSUSDT,binance,bybit,0.00032862055019581844,2.0514944406764884e-07,102,1761963022861
CFXUSDT,gate,bybit,0.0004360237936999,1.4505535517857785e-07,51,1761880150416
CFXUSDT,gate,binance,0.0003092297122473,1.2813346520164836e-07,51,1761880150419
CFXUSDT,bybit,binance,0.00015050513341260797,2.1062359112133336e-07,34,1761959285056
CGPTUSDT,bybit,binance,0.0004968748493575601,2.6764169260166595e-07,50,1761960214819
CGPTUSDT,bybit,gate,0.0012785535886062,7.073318097976326e-07,71,1761881102072
CGPTUSDT,binance,gate,0.0011363137768225,7.803481672092101e-07,66,1761881102069
CHESSUSDT,gate,binance,0.0011598644183481,4.3791602121291794e-07,45,1761881102076
CHESSUSDT,gate,bybit,0.0010578300465219,9.5002115565444e-07,2,1761679818168
CHESSUSDT,binance,bybit,0.0001078981860236,1.1601384347768738e-06,2,1761679818166
CHILLGUYUSDT,bybit,binance,0.0006955364549669981,3.392128710498372e-07,113,1761963022891
CHILLGUYUSDT,bybit,gate,0.0010941334267559,5.442674900358822e-07,69,1761881102081
CHILLGUYUSDT,binance,gate,0.0003833079194908,4.204009134273382e-07,27,1761881102083
CHRUSDT,binance,bybit,0.00040109530896549503,5.004772268147228e-07,37,1761948134155
CHRUSDT,binance,gate,0.0010498476967551,1.059619080074163e-06,53,1761879180265
CHRUSDT,bybit,gate,0.0015286165580224,1.6114989730153058e-06,53,1761880150454
CHZUSDT,gate,bybit,0.0007764621509919,7.124433624806735e-07,12,1761876213042
CHZUSDT,gate,binance,0.0006101971569505,4.176478837799663e-07,32,1761876213040
CHZUSDT,bybit,binance,0.00027266491429227925,1.1776818104493037e-07,51,1761961145966
CKBUSDT,bybit,gate,0.0008869178544342,3.328065008560043e-07,74,1761881102102
CKBUSDT,bybit,binance,0.0003600209501101825,1.6897935576548926e-07,97,1761960214851
CKBUSDT,gate,binance,0.0004835461236888,2.887673522410785e-07,34,1761881102107
CLOUDUSDT,bybit,gate,0.0034136313157192,3.129735004522919e-06,77,1761881102110
COAIUSDT,binance,bybit,0.001992232155955384,2.114325813562087e-06,56,1761962088388
COAIUSDT,binance,gate,0.0031168255653658,4.0075487327549845e-06,56,1761880150493
COAIUSDT,bybit,gate,0.0020669303253912,2.2120581211469754e-06,49,1761881102121
